,Player,Game ID,Birds,Bonus cards,End-of-round goals,Eggs,Food on cards,Tucked cards,Nectar,Total,Expansion
328,Lahoma,100,31,12,17.0,25,0,13.0,0.0,98.0,Original
329,Herb,100,25,0,5.0,20,0,7.0,0.0,57.0,Original
330,Marion,100,37,2,12.0,10,6,12.0,0.0,79.0,Original
331,Lahoma,101,25,3,16.0,7,0,7.0,0.0,58.0,Original
332,Marion,101,47,13,16.0,6,1,1.0,0.0,84.0,Original
333,Marion,102,30,16,17.0,10,0,11.0,0.0,84.0,Original
334,Burl,102,31,7,14.5,18,0,5.0,0.0,75.5,Original
335,Herb,102,25,2,0.0,24,1,8.0,0.0,60.0,Original
336,Bonita,102,32,7,9.0,24,0,10.0,0.0,82.0,Original
337,Lahoma,103,27,6,11.0,9,2,7.0,0.0,62.0,Original
338,Marion,103,31,12,9.0,18,1,4.0,0.0,75.0,Original
339,Lahoma,104,31,9,12.0,18,2,6.0,0.0,78.0,Original
340,Burl,104,33,4,13.0,21,0,4.0,0.0,75.0,Original
341,Marion,105,45,10,13.0,12,0,7.0,0.0,87.0,Original
342,Herb,105,45,11,11.0,30,0,4.0,0.0,101.0,Original
343,Burl,105,31,9,7.0,9,0,5.0,0.0,61.0,Original
344,Lahoma,106,33,6,7.5,2,3,4.0,0.0,55.5,Original
345,Burl,106,28,2,5.16,22,7,4.0,0.0,68.16,Original
346,Herb,106,15,0,4.5,24,6,8.0,0.0,57.5,Original
347,Marion,106,34,7,10.83,5,0,10.0,0.0,66.83,Original
348,Bonita,106,47,6,10.0,11,0,6.0,0.0,80.0,Original
349,Marion,107,32,12,6.0,18,0,9.0,0.0,77.0,Original
350,Burl,107,33,3,8.0,20,3,10.0,0.0,77.0,Original
351,Lahoma,107,30,0,20.5,24,0,3.0,0.0,77.5,Original
352,Bonita,107,54,2,2.5,9,2,6.0,0.0,75.5,Original
353,Herb,108,21,4,7.0,27,0,21.0,0.0,80.0,Original
354,Burl,108,29,6,8.5,10,0,14.0,0.0,67.5,Original
355,Marion,108,33,6,2.0,10,5,9.0,0.0,65.0,Original
356,Bonita,108,28,3,20.5,28,0,16.0,0.0,95.5,Original
357,Herb,109,25,2,15.0,23,0,7.0,0.0,72.0,Original
358,Marion,109,39,10,9.5,13,3,7.0,0.0,81.5,Original
359,Bonita,109,38,5,7.5,19,0,1.0,0.0,70.5,Original
360,Marion,110,34,3,10.0,19,0,7.0,0.0,73.0,Original
361,Herb,110,34,6,16.5,19,0,3.0,0.0,78.5,Original
362,Bonita,110,35,0,5.5,17,0,7.0,0.0,64.5,Original
363,Marion,111,44,7,10.0,9,1,4.0,0.0,75.0,Original
364,Herb,111,18,0,14.5,23,0,6.0,0.0,61.5,Original
365,Bonita,111,51,8,7.5,5,4,0.0,0.0,75.5,Original
366,Lahoma,114,29,4,13.0,19,1,13.0,0.0,79.0,Original
367,Trinidad,114,31,0,6.75,24,0,4.0,0.0,65.75,Original
368,Herb,114,20,14,11.75,29,0,18.0,0.0,92.75,Original
369,Marion,114,52,14,4.75,19,1,0.0,0.0,90.75,Original
370,Bonita,114,39,4,1.75,26,3,19.0,0.0,92.75,Original
371,Marion,115,37,16,11.0,3,5,3.0,0.0,75.0,Original
372,Lahoma,115,23,6,10.5,11,1,9.0,0.0,60.5,Original
373,Bonita,115,36,6,16.5,20,0,23.0,0.0,101.5,Original
374,Herb,116,34,3,9.33,34,0,4.0,0.0,84.33,Original
375,Bonita,116,34,6,12.33,20,0,6.0,0.0,78.33,Original
376,Marion,116,39,9,15.67,23,0,9.0,0.0,95.67,Original
377,Herb,117,26,5,7.66,26,0,6.0,0.0,70.66,Original
378,Marion,117,37,3,7.66,20,0,6.0,0.0,73.66,Original
379,Bonita,117,34,9,19.66,31,2,5.0,0.0,100.66,Original
380,Lahoma,118,38,6,12.0,21,0,3.0,0.0,80.0,Original
381,Herb,118,39,5,10.0,23,2,0.0,0.0,79.0,Original
382,Marion,118,43,7,15.0,27,1,2.0,0.0,95.0,Original
383,Bonita,118,40,7,1.0,31,0,32.0,0.0,111.0,Original
384,Marion,119,54,14,16.0,9,9,3.0,0.0,105.0,Original
385,Bonita,119,49,9,16.0,17,0,10.0,0.0,101.0,Original
386,Marion,120,34,4,19.0,20,0,16.0,0.0,93.0,Original
387,Bonita,120,40,6,12.0,31,0,2.0,0.0,91.0,Original
388,Marion,121,36,16,19.0,15,1,4.0,0.0,91.0,Original
389,Bonita,121,46,17,12.0,11,0,8.0,0.0,94.0,Original
390,Marion,122,50,7,16.0,3,0,0.0,0.0,76.0,Original
391,Bonita,122,56,20,14.0,21,0,0.0,3.0,114.0,Original
392,Marion,123,40,10,10.0,12,9,0.0,0.0,81.0,Original
393,Bonita,123,53,9,19.0,26,0,25.0,0.0,132.0,Original
394,Marion,124,33,10,10.17,13,0,10.0,0.0,76.17,Asia
395,Danette,124,28,13,11.5,17,0,1.0,0.0,70.5,Asia
396,Dennis,124,37,7,8.67,8,0,18.0,0.0,78.67,Asia
397,Bonita,124,32,8,7.67,20,5,6.0,0.0,78.67,Asia
398,Dennis,125,32,13,9.67,19,0,4.0,0.0,77.67,Asia
399,Felton,125,30,14,11.0,26,0,0.0,0.0,81.0,Asia
400,Robena,125,19,7,8.67,12,13,14.0,0.0,73.67,Asia
401,Danette,125,29,8,8.67,19,0,7.0,0.0,71.67,Asia
402,Dennis,126,45,31,5.5,18,8,0.0,0.0,107.5,Asia
403,Felton,126,41,6,8.0,9,4,6.0,0.0,74.0,Asia
404,Robena,126,28,12,13.0,22,4,2.0,0.0,81.0,Asia
405,Danette,126,31,15,11.5,19,3,8.0,0.0,87.5,Asia
406,Dennis,127,31,7,12.5,14,1,7.0,0.0,72.5,Asia
407,Felton,127,35,8,9.5,20,8,17.0,0.0,97.5,Asia
408,Robena,127,41,9,7.0,14,10,4.0,0.0,85.0,Asia
409,Danette,127,28,7,9.0,20,1,0.0,0.0,65.0,Asia
410,Marion,128,41,9,11.67,28,0,14.0,0.0,103.67,Asia
411,Danette,128,38,7,12.0,17,1,6.0,0.0,81.0,Asia
412,Dennis,128,32,3,9.67,27,3,4.0,0.0,78.67,Asia
413,Bonita,128,42,4,4.67,26,0,0.0,0.0,76.67,Asia
414,Danette,129,30,3,16.0,11,1,9.0,0.0,70.0,Asia
415,Dennis,129,36,7,12.66,18,0,4.0,0.0,77.66,Asia
416,Bonita,129,17,7,6.66,35,6,5.0,0.0,76.66,Asia
417,Dennis,130,48,37,11.0,7,0,0.0,0.0,103.0,Asia
418,Danette,130,36,15,16.0,7,1,1.0,0.0,76.0,Asia
419,Marion,131,29,7,0.33,0,3,25.0,0.0,64.33,Asia
420,Danette,131,41,13,9.33,11,4,3.0,0.0,81.33,Asia
421,Dennis,131,20,13,11.83,22,0,12.0,0.0,78.83,Asia
422,Bonita,131,31,13,13.5,23,6,3.0,0.0,89.5,Asia
423,Dennis,132,28,22,14.0,7,0,4.0,0.0,75.0,Asia
424,Danette,132,36,7,14.0,6,0,8.0,0.0,71.0,Asia
425,Dennis,133,35,9,11.0,7,0,9.0,0.0,71.0,Asia
426,Danette,133,28,9,10.0,3,0,8.0,0.0,58.0,Asia
427,Danette,134,36,3,7.0,8,5,6.0,0.0,65.0,Asia
428,Dennis,134,42,10,14.0,7,2,15.0,0.0,90.0,Asia
